snippet_idx,raw_pc1,raw_pc2,raw_pc3,zeta
0,6.131875991821289,2.857377052307129,6.619295120239258,1.0
1,7.514854907989502,2.437509536743164,6.284514904022217,1.0
2,20.014419555664062,-5.561540126800537,3.367844581604004,1.0
3,2.338143825531006,29.080303192138672,19.213483810424805,1.0
4,5.7380595207214355,2.3272738456726074,6.2459893226623535,1.0
5,9.543766021728516,-23.460195541381836,-6.944986820220947,1.0
6,35.99451446533203,-77.0196762084961,-37.36857604980469,1.0
7,20.47433090209961,-87.21292114257812,-74.80046844482422,1.0
8,-0.34661975502967834,5.063448905944824,9.004088401794434,1.0
9,-85.74669647216797,16.069963455200195,29.256866455078125,1.0
10,-22.90094757080078,-33.03688430786133,-19.236412048339844,1.0
11,8.697507858276367,-19.283218383789062,9.177445411682129,1.0
12,37.489471435546875,-23.17935562133789,-6.254977226257324,11.0
13,39.70906448364258,-30.346660614013672,-26.137102127075195,11.0
14,31.81026268005371,-4.591189861297607,3.3703675270080566,11.0
15,8.761225700378418,31.838483810424805,23.389150619506836,11.0
16,-116.69437408447266,-17.550952911376953,19.357635498046875,11.0
17,-10.200613021850586,-1.6290384531021118,-16.058012008666992,11.0
18,-3.627352714538574,9.386484146118164,34.55704116821289,11.0
19,-6.399946689605713,-3.3113934993743896,13.656218528747559,11.0
20,26.132661819458008,-18.295852661132812,-10.339871406555176,11.0
21,20.8952579498291,1.3202708959579468,24.398561477661133,11.0
22,31.469451904296875,4.283301830291748,-1.3699610233306885,11.0
23,34.96859359741211,2.5541868209838867,10.24073314666748,11.0
24,7.491730213165283,-69.94361114501953,-44.109920501708984,11.0
25,25.139745712280273,-4.337195873260498,5.698815822601318,11.0
26,3.134878158569336,-24.672744750976562,-7.8373308181762695,11.0
27,-8.327598571777344,-4.703337669372559,22.403656005859375,11.0
28,-103.75420379638672,-33.748207092285156,-1.1532503366470337,11.0
29,13.183040618896484,-12.17996597290039,8.263989448547363,11.0
30,4.354209899902344,-12.054234504699707,26.573476791381836,11.0
31,20.617448806762695,19.185047149658203,8.675505638122559,11.0
32,-31.827322006225586,92.52729034423828,-63.80303955078125,13.0
33,3.125368356704712,17.718961715698242,-59.9450798034668,13.0
34,-0.2294306457042694,-4.0435686111450195,-35.85493850708008,13.0
35,10.825543403625488,-15.028792381286621,16.126121520996094,13.0
36,25.342649459838867,-14.66385269165039,-6.559449672698975,13.0
37,4.568145275115967,6.537547588348389,18.953622817993164,13.0
38,6.952077388763428,13.78160285949707,21.693449020385742,13.0
39,22.6738224029541,-2.6456475257873535,12.467891693115234,13.0
40,-24.962310791015625,104.22467041015625,-73.53952026367188,15.0
41,18.449918746948242,13.771539688110352,1.776391863822937,15.0
42,13.830509185791016,-7.406811714172363,5.856442928314209,15.0
43,4.421824932098389,-3.287721633911133,17.55886459350586,15.0
44,-62.11281204223633,-18.513307571411133,2.9912843704223633,15.0
45,-1.6158419847488403,14.966072082519531,6.744168281555176,15.0
46,18.75885772705078,-5.337302207946777,19.390106201171875,15.0
47,1.2289763689041138,1.5524156093597412,-10.854612350463867,15.0
48,9.926542282104492,21.732961654663086,16.574878692626953,17.0
49,11.664748191833496,7.6233978271484375,26.74243927001953,17.0
