snippet_idx,z_pc1,z_pc2,alpha
0,2.0125675201416016,0.28428077697753906,-1.0
1,2.1088600158691406,-0.017546283081173897,-1.0
2,1.8402584791183472,0.006196304690092802,-1.0
3,1.8237851858139038,-0.1186741515994072,-1.0
4,2.2065231800079346,0.29343342781066895,-1.0
5,2.52178955078125,0.5651834607124329,-1.0
6,2.5108249187469482,0.7126829028129578,-1.0
7,1.6963896751403809,0.8975638747215271,-1.0
8,1.4567214250564575,-0.4208315908908844,-2.0
9,1.1607677936553955,-0.41652122139930725,-2.0
10,1.0814729928970337,-0.4041895270347595,-2.0
11,1.1283555030822754,-0.8606036305427551,-2.0
12,0.5071462988853455,1.3729599714279175,-1.0
13,0.656958281993866,1.3451963663101196,-1.0
14,0.6380195021629333,1.0988235473632812,-1.0
15,0.8207004070281982,1.0568963289260864,-1.0
16,0.04475361481308937,0.38400259613990784,-2.0
17,0.014663045294582844,0.8140897750854492,-2.0
18,0.0742139220237732,0.9375478625297546,-2.0
19,-0.05460665374994278,1.059337854385376,-2.0
20,-0.5874188542366028,0.16058680415153503,-3.0
21,-0.5927934050559998,0.29901206493377686,-3.0
22,-0.35778582096099854,0.30873700976371765,-3.0
23,-0.4073006212711334,0.11542204022407532,-3.0
24,-0.4451870620250702,0.1831570565700531,-3.0
25,-0.4042777121067047,0.40310898423194885,-3.0
26,-0.2715769410133362,0.29176151752471924,-3.0
27,-0.3578210175037384,0.2600863575935364,-3.0
28,-0.6602770090103149,-0.2656870484352112,-4.0
29,-0.5477782487869263,-0.22030891478061676,-4.0
30,-0.8589531779289246,0.14479175209999084,-4.0
31,-0.8985840678215027,-0.03398260846734047,-4.0
32,0.33105751872062683,0.4155787229537964,-1.0
33,0.48089370131492615,0.37956613302230835,-1.0
34,0.5739335417747498,0.6044265031814575,-1.0
35,0.6073359847068787,0.7545592784881592,-1.0
36,-0.9377642273902893,0.08233080059289932,-5.0
37,-0.9398506879806519,0.047720495611429214,-5.0
38,-1.0562752485275269,0.17138901352882385,-5.0
39,-0.9727395176887512,0.07554008066654205,-5.0
40,-0.1337360143661499,0.27122750878334045,-2.0
41,0.06643188744783401,0.6813859939575195,-2.0
42,-0.1894194483757019,1.0827938318252563,-2.0
43,-0.21089497208595276,0.9989017248153687,-2.0
44,-0.9779682755470276,-0.02464611828327179,-5.0
45,-0.9978275895118713,0.13434694707393646,-5.0
46,-1.3465906381607056,0.31851714849472046,-5.0
47,-1.308644413948059,0.36080288887023926,-5.0
48,-0.5176382660865784,0.154022216796875,-3.0
49,-0.6375498175621033,0.8253173232078552,-3.0
50,-0.5644210577011108,0.949786365032196,-3.0
51,-0.7073661088943481,1.2097628116607666,-3.0
52,-0.48558226227760315,-0.015658818185329437,-3.0
53,-0.548071026802063,0.4742468297481537,-3.0
54,-0.5331740975379944,0.616850733757019,-3.0
55,-0.5430164933204651,0.8350652456283569,-3.0
56,-1.1275248527526855,0.4422474205493927,-4.0
57,-1.0892645120620728,0.6548076868057251,-4.0
58,-1.1118077039718628,0.6433101892471313,-4.0
59,-0.9207397699356079,0.4267027676105499,-4.0
60,0.42584189772605896,-1.0815664529800415,-3.0
61,0.17152529954910278,-1.0430412292480469,-3.0
62,0.18844324350357056,-0.9306593537330627,-3.0
63,0.3893739879131317,-0.9891456961631775,-3.0
64,0.30415651202201843,-1.0328854322433472,-3.0
65,0.41095900535583496,-1.0708847045898438,-3.0
66,0.236726775765419,-0.919086754322052,-3.0
67,0.4783918559551239,-1.1130801439285278,-3.0
68,-0.011300965212285519,-1.0072215795516968,-4.0
69,-0.011921292170882225,-0.9194697737693787,-4.0
70,-0.03235858306288719,-0.7094594836235046,-4.0
71,-0.0526263527572155,-1.0206600427627563,-4.0
72,0.43780991435050964,-0.3108269274234772,-2.0
73,0.39695388078689575,-0.253536581993103,-2.0
74,0.6361849904060364,-0.11933217197656631,-2.0
75,0.34375590085983276,0.22275683283805847,-2.0
76,0.2594706416130066,-0.6981891393661499,-3.0
77,0.12407444417476654,-0.807224690914154,-3.0
78,-0.13721567392349243,-0.6735712885856628,-3.0
79,-0.05793900415301323,-0.4766024053096771,-3.0
80,-0.1214107796549797,-0.6960272192955017,-3.0
81,0.2397632896900177,-0.8267725706100464,-3.0
82,0.12670986354351044,-0.7997056245803833,-3.0
83,0.04642026126384735,-0.6712310314178467,-3.0
84,-0.5246153473854065,-0.7491781711578369,-5.0
85,-0.6570507884025574,-0.6176928281784058,-5.0
86,-0.47795823216438293,-0.5250972509384155,-5.0
87,-0.49990779161453247,-0.5644060969352722,-5.0
88,0.2429344207048416,-0.007603985257446766,-2.0
89,0.3097950518131256,0.36155274510383606,-2.0
90,0.40112873911857605,0.09450052678585052,-2.0
91,0.290621280670166,0.0393039733171463,-2.0
92,-0.7721734046936035,-0.41614624857902527,-5.0
93,-0.6337466835975647,-0.3254149556159973,-5.0
94,-0.7236611247062683,-0.37930867075920105,-5.0
95,-0.5421457290649414,-0.49254196882247925,-5.0
96,-0.42820417881011963,-0.2763783037662506,-3.0
97,-0.2280489057302475,-0.3347207307815552,-3.0
98,-0.16755951941013336,-0.3130233585834503,-3.0
99,-0.4103372395038605,0.048142481595277786,-3.0
100,-0.5681897401809692,-0.47986575961112976,-4.0
101,-0.5326079726219177,-0.3544410765171051,-4.0
102,-0.4071809947490692,-0.280256986618042,-4.0
103,-0.5250772833824158,-0.28741899132728577,-4.0
